City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Coahuayana,MX,18.7333,-103.6833,85.46,63,10,6.4,clear sky
115,Mamlyutka,KZ,54.9375,68.5394,2.75,81,100,10.36,overcast clouds
116,Belaya Gora,RU,68.5333,146.4167,-14.51,99,100,0.98,light snow
117,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,86,61,3.91,broken clouds
118,Constitucion,CL,-35.3333,-72.4167,61.45,65,0,19.26,clear sky
119,Khatanga,RU,71.9667,102.5,-38.06,100,63,5.64,broken clouds
120,Yalutorovsk,RU,56.6536,66.3006,3.94,87,100,5.82,overcast clouds
121,Paamiut,GL,61.994,-49.6678,25.93,84,100,46.22,overcast clouds
122,Port-Gentil,GA,-0.7193,8.7815,80.56,89,20,5.75,few clouds
123,Laguna,US,38.421,-121.4238,60.06,46,0,10.36,clear sky
124,Puerto Ayora,EC,-0.7393,-90.3518,71.55,87,68,8.99,broken clouds
125,Atherton,GB,53.5237,-2.4935,42.75,93,35,1.99,scattered clouds
126,Naze,JP,28.3667,129.4833,59.0,77,100,18.63,overcast clouds
127,Neuquen,AR,-38.9516,-68.0591,80.49,14,0,6.91,clear sky
128,Komsomolskiy,UZ,40.4272,71.7189,48.92,71,40,13.8,scattered clouds
129,Saskylakh,RU,71.9167,114.0833,-27.96,100,100,8.39,overcast clouds
130,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,80,75,4.47,broken clouds
131,Markova,UA,48.6758,24.4138,30.24,96,98,3.83,overcast clouds
132,Airai,TL,-8.9266,125.4092,60.53,92,100,1.1,overcast clouds
133,Araouane,ML,18.9048,-3.5265,74.39,14,99,9.35,overcast clouds
134,Lewisville,US,33.0462,-96.9942,52.74,34,0,10.36,clear sky
135,Nikolskoye,RU,59.7035,30.7861,23.81,90,98,3.65,overcast clouds
136,Kaeo,NZ,-35.1,173.7833,64.33,79,61,10.98,broken clouds
137,Carnarvon,AU,-24.8667,113.6333,68.74,82,3,15.41,clear sky
138,Iberia,US,29.9502,-91.7507,66.16,39,0,16.11,clear sky
139,Phibun Mangsahan,TH,15.2447,105.2291,74.91,86,76,3.74,broken clouds
140,Bambous Virieux,MU,-20.3428,57.7575,74.21,83,40,2.3,light rain
141,Inirida,CO,3.8653,-67.9239,77.61,94,93,2.13,moderate rain
